Category,Name,Neighborhood,Vicinity,Off-route (mi),Miles to finish
restaurant,Sushi Cruise,Edgewater,"725 River Road #51, Edgewater",0.09,68.87
park,Honor Park,Cliffside Park,"Palisade Ave at, Riverview Avenue, Cliffside Park",0.5,68.76
park,The Hudson River Walking Path,Edgewater,"595 Old River Road, Edgewater",0.1,68.65
restaurant,Dunkin',Fairview,"427 Anderson Avenue, Fairview",0.71,68.56
restaurant,Starbucks,Edgewater,"543 River Road, Edgewater",0.07,68.48
restaurant,Spirit Restaurant & Bar,Edgewater,"547 River Road, Edgewater",0.02,68.46
restaurant,Outback Steakhouse,Edgewater,"539 River Road, Edgewater",0.15,68.42
restaurant,McDonald's,Edgewater,"549 River Road, Edgewater",0.02,68.41
restaurant,7-Eleven,Edgewater,"478 River Road, Edgewater",0.03,68.41
restaurant,Starbucks,Edgewater,"457 River Road Edgewater Commons, Edgewater",0.03,68.36
park,Zalewski Park,Cliffside Park,"Adolphus Avenue, Cliffside Park",0.21,68.26
park,Beltran Family Garden,Fairview,"316 4th Street, Fairview",0.55,68.25
cafe,Fairview Nutrition,Fairview,"300 Anderson Avenue D, Fairview",0.5,68.23
restaurant,McDonald's,Fairview,"289 Bergen Boulevard, Fairview",0.88,68.21
park,McWilliams Gardens,Edgewater,"Hancock Court, Edgewater",0.16,68.11
restaurant,Fairview Taqueria,Fairview,"149 A Anderson Avenue, Fairview",0.53,68.01
park,Firemans Circle Park,Fairview,Fairview,0.74,68.01
restaurant,The Caves (formerly Archetypus),Edgewater,"266 Old River Road, Edgewater",0.05,67.98
restaurant,ETERI Boutique & Café Lounge,Edgewater,"268 Old River Road, Edgewater",0.05,67.98
park,Veterans Park,Fairview,"439 Harding Place, Fairview",0.75,67.98
restaurant,The Village Edgewater,Edgewater,"250 Old River Road, Edgewater",0.06,67.95
restaurant,Kafe Nio,Edgewater,"The Promenade @, 51 City Place Mall, Edgewater",0.18,67.86
restaurant,Greek Taverna,Edgewater,"55 The Promenade, Edgewater",0.19,67.85
restaurant,Original Pancake House,Edgewater,"15 The Promenade, Edgewater",0.05,67.85
restaurant,Fleming’s Prime Steakhouse & Wine Bar,Edgewater,"90 The Promenade, Edgewater",0.2,67.84
restaurant,Barb Coffee Co. and Market,Fairview,"58 Anderson Avenue, Fairview",0.54,67.83
restaurant,Daisy's Grill,Edgewater,"200 Old River Road, Edgewater",0.06,67.83
park,Fairview Recreation Department,Fairview,"59 Anderson Avenue, Fairview",0.57,67.83
restaurant,Panera Bread,Edgewater,"26 The Promenade Building 400, Edgewater",0.07,67.82
restaurant,Restaurante noches Alejandra,Fairview,"354 Fairview Avenue, Fairview",0.56,67.7
restaurant,Pier 115,Edgewater,"115 River Road, Edgewater",0.26,67.68
water,iV Bars,Edgewater,"115 River Rd, Edgewater",0.03,67.68
restaurant,Sandwichitos,North Bergen,"9025 Old River Road, North Bergen",0.05,67.66
restaurant,Moe's Southwest Grill,Edgewater,"75 River Road, Edgewater",0.04,67.64
restaurant,Burger King,North Bergen,"9105 Bergenline Avenue, North Bergen",0.56,67.62
restaurant,QuickChek,North Bergen,"9005 Bergenline Avenue, North Bergen",0.58,67.6
restaurant,Dunkin',North Bergen,"9001 Bergenline Avenue, North Bergen",0.58,67.6
cafe,to go,North Bergen,"100 Woodcliff Avenue, North Bergen",0.27,67.6
park,Durotest Little League Baseball Field,North Bergen,"329-399 Woodcliff Avenue, North Bergen",0.39,67.6
restaurant,Juice Journey Cafe,Edgewater,"1 Main Street, Edgewater",0.13,67.59
restaurant,Dunkin',Edgewater,"2 Main Street, Edgewater",0.11,67.58
restaurant,Haven Riverfront Restaurant and Bar,Edgewater,"2 Main Street, Edgewater",0.13,67.58
restaurant,Five Guys,Edgewater,"45 River Road, Edgewater",0.06,67.58
restaurant,Lolitas Mexican Cantina NB,North Bergen,"8809 River Road, North Bergen",0.02,67.54
park,Parque 80,North Bergen,"Unnamed Road, 8702 JFK Boulevard East, North Bergen",0.41,67.54
park,The Arboretum at Braddock Park,North Bergen,"8701 JFK Boulevard East, North Bergen",0.43,67.54
park,James J. Braddock Community Garden in North Bergen,North Bergen,"The Arboretum at Braddock Park, 8701 JFK Boulevard East, North Bergen",0.45,67.54
park,North Hudson County Park - Dog Park🐕,North Bergen,"8708 JFK Boulevard East, North Bergen",0.49,67.52
bike_shop,James Vincent Bicycles 🚲,North Bergen,"8505 Bergenline Avenue 2nd Floor, North Bergen",0.57,67.51
park,James J Braddock North Hudson County Park,West New York,"111 65th St, West New York",0.3,67.49
park,James J. Braddock North Hudson County Park,North Bergen,"9003 Bergenline Avenue, North Bergen",0.37,67.45
park,Woodcliff Lake - Wildlife Breeding Island Area,North Bergen,"James J. Braddock North Hudson County Park, 9003 Bergenline Avenue, North Bergen",0.37,67.44
park,Braddock Park,North Bergen,"80th Street, North Bergen",0.39,67.44
restaurant,Tim Hortons,North Bergen,"8401 River Road, North Bergen",0.02,67.28
park,North Bergen 80th Street Park,North Bergen,"Bergenline Ave & 79th St, North Bergen",0.39,67.23
park,Braddock Field #1,North Bergen,North Bergen,0.19,67.16
restaurant,Tapas De España,North Bergen,"7909 Bergenline Avenue, North Bergen",0.64,67.09
park,Memorial Tree - Rochelle Shelley Abramson,North Bergen,"James J Braddock Park, North Bergen",0.14,67.03
park,StayPlayNTrain,North Bergen,"234 76th Street, North Bergen",0.4,66.98
restaurant,QuickChek,North Bergen,"7201 Bergenline Avenue, North Bergen",0.71,66.93
restaurant,Palermo,North Bergen,"7407 Broadway, North Bergen",0.35,66.9
bike_shop,Fly E-Bike North Bergen NJ,North Bergen,"7015 Bergenline Avenue, North Bergen",0.72,66.7
restaurant,Pizza Hut,Guttenberg,"7001 Bergenline Avenue, Guttenberg",0.73,66.68
restaurant,Dunkin',Guttenberg,"7101 JFK Boulevard East, Guttenberg",0.19,66.66
restaurant,Park Avenue Bagels,Guttenberg,"7015 Park Avenue, Guttenberg",0.25,66.65
restaurant,Lotus Thai Cuisine,Guttenberg,"7007 Park Avenue, Guttenberg",0.25,66.63
park,Jennifer Perrin,Guttenberg,Guttenberg,0.26,66.58
park,Guttenberg Gardens,Guttenberg,"78 69th Street, Guttenberg",0.22,66.57
restaurant,Mary's Bakery,Guttenberg,"6813 Park Avenue, Guttenberg",0.27,66.56
restaurant,GP's Restaurant,Guttenberg,"24 69th Street, Guttenberg",0.14,66.56
park,Washington Park,West New York,"6600 Palisade Avenue, West New York",0.5,66.36
restaurant,Parker,West New York,"6504 Park Avenue, West New York",0.22,66.33
cafe,Dulce Cafe,West New York,"6404 Park Avenue, West New York",0.22,66.29
water,Drinking Fountain,West New York,"6400-6498 JFK Blvd E, West New York",0.07,66.28
park,West New York Dog Park,West New York,"6400-6498 JFK Boulevard East, West New York",0.06,66.28
park,Verrazano Park,West New York,"6400 JFK Boulevard East, West New York",0.06,66.27
restaurant,La Gran Sabana,West New York,"6315 Park Avenue, West New York",0.24,66.25
park,Liberty Skyline,West New York,"JFK Boulevard East, West New York",0.04,66.21
park,Auf der Heide Park,West New York,West New York,0.05,66.17
park,Patricia McEldowney Field,West New York,"6600-6698 JFK Boulevard East, West New York",0.03,66.12
restaurant,Son Cubano Modern-Cuban Cuisine,West New York,"40-4 Riverwalk Place, West New York",0.19,65.98
park,View point,West New York,"40-4 Riverwalk Place, West New York",0.24,65.98
restaurant,Paris Baguette,West New York,"17 Avenue at Port Imperial, West New York",0.08,65.97
bike_shop,El Frondoso Bicycle Shop,West New York,"6123 Broadway, West New York",0.24,65.84
restaurant,Dulce De Leche Bakery,West New York,"6510 Bergenline Avenue, West New York",0.61,65.84
restaurant,7-Eleven,West New York,"6215 Park Avenue, West New York",0.23,65.84
restaurant,Park Cafe & Eatery,West New York,"6001 JFK Boulevard East, West New York",0.02,65.84
restaurant,Papa Johns Pizza,West New York,"6602 Bergenline Avenue, West New York",0.62,65.84
restaurant,Las Palmas,West New York,"6153 Bergenline Avenue, West New York",0.53,65.84
restaurant,Pupuseria Los Nueve Vientos Osicala,West New York,"6306 Hudson Avenue, West New York",0.35,65.84
restaurant,Pio Pio Cafe & Restaurant 63,West New York,"6300 Hudson Avenue, West New York",0.35,65.84
park,Fillmore Park,West New York,"221 61st Street, West New York",0.24,65.84
park,Dewey Park,West New York,"6414 Hudson Avenue, West New York",0.4,65.84
restaurant,7-Eleven,West New York,"6004 Bergenline Avenue, West New York",0.47,65.82
park,West New York Parks Department,West New York,"Municipal Building, 428 60th Street #24, West New York",0.42,65.82
restaurant,Dunkin',West New York,"5915 Bergenline Avenue, West New York",0.49,65.8
park,Donnelly Memorial Park,West New York,"6000 JFK Boulevard East, West New York",0.04,65.77
restaurant,Colombian Bites,West New York,"5811 Hudson Avenue # 1, West New York",0.26,65.74
restaurant,McDonald's,West New York,"5400 Bergenline Avenue, West New York",0.45,65.62
restaurant,Popeyes Louisiana Kitchen,West New York,"5401 Bergenline Avenue, West New York",0.47,65.62
restaurant,Envigado,West New York,"5114 Bergenline Avenue, West New York",0.47,65.6
park,War Memorial,West New York,"J F, 5400-5918 JFK Boulevard East, West New York",0.02,65.6
restaurant,Little Greek,West New York,"5402 Park Avenue, West New York",0.05,65.59
restaurant,P.F. Chang's,West New York,"10 Port Imperial Boulevard, West New York",0.11,65.46
park,The Old Glory Park,West New York,West New York,0.02,65.42
restaurant,7-Eleven,West New York,"4912 Bergenline Avenue, West New York",0.5,65.27
restaurant,Dunkin',Union City,"4801 Park Avenue, Union City",0.15,65.26
restaurant,Las Chicas Bakery & Cafe,Union City,"4707 Bergenline Avenue, Union City",0.51,65.26
restaurant,Garden Cafe and Bistro,Union City,"106 48th Street, Union City",0.16,65.26
park,Veteran's Field,Union City,"505 County Road 680, Union City",0.52,65.26
restaurant,Ispresso,Union City,"4701 Park Avenue, Union City",0.17,65.25
bike_shop,Union Cycle Center,Union City,"4531 Bergenline Avenue, Union City",0.52,65.25
restaurant,Sunshine Ice,Weehawken Township,"4514 Park Avenue, Weehawken Township",0.22,65.22
restaurant,Cortaditos,Union City,"4501 Park Avenue, Union City",0.27,65.22
restaurant,Noches De Colombia,Union City,"4329 Bergenline Avenue, Union City",0.56,65.22
restaurant,Chic King,Union City,"4205 Bergenline Avenue #1, Union City",0.59,65.22
park,Columbia Park 44th Street Playground,Union City,"307 45th Street, Union City",0.44,65.22
restaurant,Charrito's,Weehawken Township,"974 JFK Boulevard East, Weehawken Township",0.01,65.2
restaurant,Dunkin',Weehawken Township,"500 Port Imperial Boulevard, Weehawken Township",0.1,65.19
restaurant,Two Crepes,Union City,"137 43rd Street, Union City",0.39,65.11
park,Louisa Park,Weehawken Township,"915 JFK Boulevard East, Weehawken Township",0.04,65.11
restaurant,Romano Pizza,Weehawken Township,"4206 Park Avenue, Weehawken Township",0.29,64.92
park,Paddys Shack,Weehawken Township,"12 Liberty Place, Weehawken Township",0.07,64.91
bike_shop,PROBIKES,Union City,"3800 John F. Kennedy Boulevard, Union City",0.77,64.9
restaurant,Dunkin',Weehawken Township,"4100 Park Avenue, Weehawken Township",0.29,64.9
restaurant,7-Eleven,Union City,"3900 Bergenline Avenue, Union City",0.61,64.9
restaurant,El Artesano Restaurant,Union City,"4101 Bergenline Avenue, Union City",0.61,64.9
restaurant,Spritz Cafe,Union City,"304-A 38th Street, Union City",0.5,64.9
restaurant,Smoothie caffe shop nutriciónal,Union City,"304 38th Street, Union City",0.5,64.9
restaurant,Great Wall,Weehawken Township,"4100 Park Avenue #1, Weehawken Township",0.3,64.9
restaurant,Subway,Weehawken Township,"4100 Park Avenue, Weehawken Township",0.3,64.9
restaurant,Burrito Joint,Union City,"3800 Palisade Avenue, Union City",0.48,64.9
park,Tot Lot Park,Weehawken Township,"219 Highwood Avenue, Weehawken Township",0.22,64.9
park,9/11 Memorial Weehawken,Weehawken Township,"1300 At Port Imperial,, Lincoln Harbor/Weehawken - Midtown/West 39th, Weehawken Township",0.13,64.77
restaurant,Steven's Cafe,Weehawken Township,"1200 Avenue at Port Imperial, Weehawken Township",0.12,64.77
park,Doge Industries - Masti/Zahava Branch,West New York,"4800 Ave at Port Imperial, 252 Halfmoon Court, West New York",0.05,64.77
park,Dog Park,Weehawken Township,"4800 At Port Imperial, 07086 Weehawken Ave, Weehawken Township",0.06,64.77
park,Weehawken Waterfront Pershing Circle,Weehawken Township,Weehawken Township,0.01,64.76
park,Pershing Park,Weehawken Township,"8 Pershing Road, Weehawken Township",0.02,64.75
park,Hamilton Park,Weehawken Township,"Boulevard East, Hudson Place, Weehawken Township",0.06,64.62
park,Hamilton Plaza,Weehawken Township,"Hamilton Park, Boulevard East, Hudson Place, Weehawken Township",0.05,64.58
park,Weehawken Dueling Grounds,Weehawken Township,Weehawken Township,0.06,64.51
bike_shop,Chelsea Bicycles of NJ,Union City,"586 32nd Street, Union City",0.84,64.35
restaurant,Mi Bandera,Union City,"518 32nd Street, Union City",0.72,64.3
restaurant,Noches de Colombia,Union City,"420 32nd Street, Union City",0.64,64.28
restaurant,Domino's Pizza,Union City,"524 31st Street, Union City",0.72,64.28
restaurant,Dunkin',Weehawken Township,"2816 Palisade Avenue, Weehawken Township",0.5,64.21
restaurant,Five Stars Thai Restaurant,Union City,"324 29th Street, Union City",0.58,64.2
park,Weehawken Stadium,Weehawken Township,"400 Park Avenue, Weehawken Township",0.18,64.17
park,Weehawken Waterfront Park and Recreation Center,Weehawken Township,"1 Port Imperial Boulevard, Weehawken Township",0.06,64.11
restaurant,Noches de Colombia,Union City,"2821 Bergenline Avenue, Union City",0.67,64.04
restaurant,Chart House,Weehawken Township,"1700 Harbor Boulevard, Weehawken Township",0.27,63.95
water,Drinking fountain,Weehawken Township,"Gregory Park, Weehawken Township",0.23,63.86
restaurant,Ruth's Chris Steak House,Weehawken Township,"1000 Harbor Boulevard, Weehawken Township",0.1,63.7
restaurant,Aqua Spirit,Union City,"1115 Summit Ave, Union City",0.8,63.46
park,1600 Park,Hoboken,"1600 Park Avenue, Hoboken",0.04,63.32
park,Firefighter's Memorial Park,Union City,"906 Palisade Avenue, Union City",0.41,63.25
bike_shop,Jersey Cycles,Jersey City,"522 Central Avenue, Jersey City",0.84,63.12
bike_shop,E-Motion,Union City,"408 Bergenline Avenue, Union City",0.61,63.12
park,Washington Park,Union City,Union City,0.67,63.12
water,Drinking fountain,Hoboken,Hoboken,0.3,63.12
water,Drinking fountain,Hoboken,"Northwest Resiliency Park, 1201 Madison St, Hoboken",0.33,63.12
restaurant,Turning Point of Hoboken,Hoboken,"1420 Sinatra Drive North, Hoboken",0.23,63.07
restaurant,City Bistro,Hoboken,"56 14th Street, Hoboken",0.13,63.07
restaurant,Dino & Harry's Steakhouse,Hoboken,"163 14th Street, Hoboken",0.01,63.06
restaurant,The Madison Bar & Grill,Hoboken,"1316 Washington Street, Hoboken",0.08,63.06
park,Shipyard Park,Hoboken,"1 13th Street, Hoboken",0.21,63.0
bike_shop,Flo On Wheels Cycles,Hoboken,"1222 Washington Street, Hoboken",0.08,62.99
restaurant,The Little Grocery,Hoboken,"1212 Washington Street, Hoboken",0.08,62.96
restaurant,Starbucks,Hoboken,"The Shipyards at 12th & Hudson, South Vanguard, 1205 Hudson Street, Hoboken",0.16,62.94
restaurant,Yeung II Sushi&Asian Wok,Hoboken,"1120 Washington Street, Hoboken",0.08,62.89
park,Maxwell Place Park,Hoboken,"11TH Sinatra Drive North, Hoboken",0.28,62.85
restaurant,Elysian Cafe,Hoboken,"1001 Washington Street, Hoboken",0.1,62.75
park,Elysian Park,Hoboken,"1001 Hudson Street, Hoboken",0.2,62.75
restaurant,10th & Willow Bar & Grill,Hoboken,"935 Willow Avenue, Hoboken",0.09,62.73
water,Drinking fountain,Hoboken,"Sun House, 10th St, Hoboken",0.19,62.71
restaurant,Ali Baba,Hoboken,"912 Washington Street Ste 1, Hoboken",0.08,62.68
restaurant,Amanda's,Hoboken,"908 Washington Street A, Hoboken",0.08,62.67
park,Columbus Park,Hoboken,Hoboken,0.18,62.67
restaurant,Angel Azul Bakery Cafe,Jersey City,"460 Central Avenue, Jersey City",0.88,62.64
restaurant,Spring Water Delivery - Mountain Fresh H20,Hoboken,"501 9th St APT 414, Hoboken",0.32,62.64
water,Alkaline Hydration Station,Jersey City,"432 Central Ave, Jersey City",0.9,62.58
restaurant,Margherita's,Hoboken,"740 Washington Street, Hoboken",0.08,62.55
restaurant,"Shaka Kitchen of Hoboken - Smoothie, Poke & Taco Shop",Hoboken,"720 Monroe Street e103, Hoboken",0.42,62.51
park,Castle Point Lookout,Hoboken,"90 Frank Sinatra Drive, Hoboken",0.35,62.5
restaurant,Kung Fu Tea,Hoboken,"536 Washington Street, Hoboken",0.08,62.37
restaurant,Mochitori - Korean Fried Chicken & Snacks,Hoboken,"529 Washington Street, Hoboken",0.1,62.35
park,Sinatra Park,Hoboken,"Sinatra Drive, Hoboken",0.28,62.29
park,Stevens Park,Hoboken,"Hudson Street, Hoboken",0.2,62.26
water,Drinking fountain,Hoboken,"Church Square Park, 5th St, Hoboken",0.06,62.25
park,Church Square Park Dog Park,Hoboken,"401-449 Willow Avenue, Hoboken",0.08,62.24
bike_shop,Fly E-Bike Hoboken NJ,Hoboken,"106 4th Street, Hoboken",0.07,62.23
restaurant,QDOBA Mexican Eats,Hoboken,"400 Washington Street, Hoboken",0.08,62.23
restaurant,Empire Coffee & Tea,Hoboken,"338 Bloomfield Street, Hoboken",0.04,62.22
restaurant,The Cuban,Hoboken,"333 Washington Street, Hoboken",0.11,62.21
park,Pier C Park,Hoboken,"340 Sinatra Drive, Hoboken",0.31,62.19
restaurant,Starbucks,Hoboken,"314 Washington Street, Hoboken",0.08,62.18
restaurant,Panera Bread,Hoboken,"310 Washington Street, Hoboken",0.08,62.16
restaurant,McDonald's,Hoboken,"234 Washington Street, Hoboken",0.08,62.13
park,Hoboken Park,Hoboken,"Pier A Park, 100 Sinatra Drive Pier A, Hoboken",0.26,62.08
park,Hudson River Waterfront Walkway,Hoboken,"Sinatra Drive, Hoboken",0.27,62.07
restaurant,Sushi Lounge,Hoboken,"200 Hudson Street, Hoboken",0.14,62.05
restaurant,The Brass Rail,Hoboken,"135 Washington Street, Hoboken",0.11,62.04
restaurant,Johnny Rockets,Hoboken,"134 Washington Street, Hoboken",0.08,62.04
park,9/11 Memorial for the City of Hoboken,Hoboken,Hoboken,0.28,61.98
restaurant,Luca Brasi's Italian Deli,Hoboken,"100 Park Avenue, Hoboken",0.06,61.96
restaurant,The Shannon,Hoboken,"106 1st Street, Hoboken",0.07,61.96
park,Pier A Fountain,Hoboken,Hoboken,0.28,61.95
restaurant,The Roost Outpost,Hoboken,"55 1st Street, Hoboken",0.13,61.95
restaurant,Choc O Pain French Bakery and Café - HOB 1st Street,Hoboken,"157 1st Street, Hoboken",0.02,61.94
water,IV Elements,Hoboken,"36 Newark St. Suite 402, Hoboken",0.18,61.92
water,Hello Hydration,Hoboken,"56 Newark St. #2, Hoboken",0.13,61.92
restaurant,Starbucks,Hoboken,"51 Newark Street, Hoboken",0.14,61.91
restaurant,Bean Vault Coffee,Hoboken,"1 Newark Street, Hoboken",0.24,61.91
restaurant,Texas Arizona,Hoboken,"76 River Street, Hoboken",0.19,61.88
park,Adrienne Haan,Hoboken,"50 Washington Street, Hoboken",0.07,61.84
restaurant,Dunkin',Hoboken,"Train Station, 1 Hudson Place, Hoboken",0.3,61.82
restaurant,Starbucks,Jersey City,"111 Town Square Place, Jersey City",0.66,61.82
restaurant,Komegashi,Jersey City,"99 Town Square Place, Jersey City",0.66,61.82
restaurant,Dorrian's Red Hand Jersey City (Commanders Bar),Jersey City,"555 Washington Boulevard, Jersey City",0.55,61.82
park,Newport Green Park,Jersey City,"Green Park, 14th Street, Jersey City",0.3,61.82
restaurant,Green Pear Cafe,Hoboken,"93 Grand Street, Hoboken",0.12,61.62
restaurant,Dunkin',Hoboken,"400 Newark Street, Hoboken",0.06,61.58
park,Jefferson Park,Hoboken,"1st Jefferson Street, Hoboken",0.16,61.53
restaurant,Old Lorenzos Pizzeria,Hoboken,"301 Jackson Street, Hoboken",0.35,61.49
park,Marjorie J. Laue Community Garden,Hoboken,"3rd Street, Hoboken",0.33,61.49
park,Jackson St. Park,Hoboken,"116 Jackson Street, Hoboken",0.23,61.43
park,Riverview-Fisk Park,Jersey City,"498 Palisade Avenue, Jersey City",0.57,61.38
water,Drinking fountain,Jersey City,"Riverview-Fisk Park, 498 Palisade Ave, Jersey City",0.57,61.37
restaurant,Modcup Coffee Company,Jersey City,"479 Palisade Avenue, Jersey City",0.6,61.36
park,Southwest Resiliency Park,Hoboken,"58 Jackson Street, Hoboken",0.09,61.35
restaurant,Northern Soul,Hoboken,"700 1st Street, Hoboken",0.22,61.35
water,Drinking fountain,Hoboken,"111 Harrison St, Hoboken",0.11,61.34
restaurant,Dulce De Leche Bakery,Jersey City,"376 Central Avenue, Jersey City",0.82,61.22
bike_shop,"Central wireless, electronics & bikes",Jersey City,"310 Central Avenue, Jersey City",0.69,61.22
restaurant,Choc O Pain French Bakery and Café - Jersey City Heights,Jersey City,"330-332 Palisade Avenue, Jersey City",0.29,61.22
restaurant,Dunkin',Jersey City,"854 Jersey Avenue, Jersey City",0.06,61.17
park,18th Street Pocket Park,Jersey City,"837 Jersey Avenue, Jersey City",0.05,61.17
park,Ogden's End,Jersey City,"100 Ogden Avenue, Jersey City",0.18,61.1
park,Pershing Field Park,Jersey City,"201 Central Avenue, Jersey City",0.62,61.1
park,Public Dog Run,Jersey City,"305 Coles Street, Jersey City",0.01,61.04
water,Drinking fountain,Jersey City,"305 Coles St, Jersey City",0.01,60.99
restaurant,Dunkin',Jersey City,"147 Palisade Avenue, Jersey City",0.26,60.97
restaurant,Red Ribbon Bakeshop,Jersey City,"591 Summit Avenue, Jersey City",0.72,60.97
restaurant,Casa Victoria,Jersey City,"691 Newark Avenue, Jersey City",0.76,60.97
restaurant,"Max's Restaurant Jersey City, Cuisine of the Philippines",Jersey City,"687 Newark Avenue, Jersey City",0.75,60.95
park,Dog park,Jersey City,"137 Hoboken Avenue, Jersey City",0.19,60.92
restaurant,Domino's Pizza,Jersey City,"631 Newark Avenue, Jersey City",0.65,60.87
park,Sgt. Anthony Park,Jersey City,"90-100 Palisade Avenue, Jersey City",0.29,60.84
restaurant,Dunkin',Jersey City,"183 12th Street, Jersey City",0.24,60.73
restaurant,McDonald's,Jersey City,"197 12th Street, Jersey City",0.2,60.73
bike_shop,DICK'S House of Sport,Jersey City,"50 Mall Drive West, Jersey City",0.46,60.66
restaurant,The Hamilton Inn,Jersey City,"708 Jersey Avenue, Jersey City",0.1,60.65
water,Drinking fountain,Jersey City,Jersey City,0.1,60.58
restaurant,Dunkin',Jersey City,"30 Mall Drive West, Jersey City",0.54,60.57
restaurant,Panda Express,Jersey City,"30-303 Mall Drive West, Jersey City",0.46,60.57
bike_shop,Jersey City Bicycle Co.,Jersey City,"231 Pavonia Avenue, Jersey City",0.17,60.56
park,Hamilton Park,Jersey City,"25 West Hamilton Place, Jersey City",0.09,60.56
park,Urban Pups,Jersey City,"286 7th Street, Jersey City",0.1,60.56
water,Drinking fountain,Jersey City,"237 Brunswick St, Jersey City",0.21,60.56
restaurant,STREET CORNER SMOKE & CONVENIENCE,Jersey City,"Above Cheesecake Factory, 30 Mall Drive West, Jersey City",0.46,60.55
restaurant,Starbucks,Jersey City,"30 Mall Drive West, Jersey City",0.47,60.55
restaurant,Panera Bread,Jersey City,"30 Mall Drive West, Jersey City",0.48,60.55
restaurant,White Star Bar,Jersey City,"230 Brunswick Street #1518, Jersey City",0.17,60.55
restaurant,McDonald's,Jersey City,"Newport Center Mall, 30 Mall Drive West, Jersey City",0.43,60.52
restaurant,Carmines Pizza,Jersey City,"366 8th Street, Jersey City",0.17,60.52
restaurant,Dames Coffee Espresso Bar,Jersey City,"581 Jersey Avenue, Jersey City",0.08,60.27
park,Hudson River Waterfront Walkway,Jersey City,"Hudson River Waterfront Walkway, Jersey City",0.69,60.24
restaurant,Lucky 7 Tavern,Jersey City,"322 2nd Street, Jersey City",0.01,60.22
park,J Owen Grundy Park,Jersey City,"Hudson Street, Jersey City",0.93,60.18
bike_shop,Grove Street Bicycles,Jersey City,"172 Christopher Columbus Drive, Jersey City",0.14,60.18
restaurant,Starbucks,Jersey City,"98 Christopher Columbus Drive, Jersey City",0.37,60.18
restaurant,The Warehouse Cafe,Jersey City,"140 Bay Street Suite 1, Jersey City",0.45,60.18
restaurant,Skinner's Loft,Jersey City,"146 Newark Avenue, Jersey City",0.24,60.18
water,Drinking fountain,Jersey City,"108 1st St, Jersey City",0.55,60.18
water,Drinking fountain,Jersey City,"York St, Jersey City",0.31,60.18
restaurant,L'atelier du chocolat,Jersey City,"251 Newark Avenue, Jersey City",0.01,60.13
bike_shop,Club Moto NJ,Jersey City,"397 7th Street, Jersey City",0.19,59.97
restaurant,Health Bar Cafe,Jersey City,"189 Brunswick Street, Jersey City",0.15,59.97
restaurant,Madame,Jersey City,"390 4th Street, Jersey City",0.07,59.97
restaurant,Sen Hai,Jersey City,"303 Newark Avenue, Jersey City",0.01,59.95
park,Village Park,Jersey City,"384-388 1st Street, Jersey City",0.04,59.86
restaurant,The Brightside Tavern,Jersey City,"141 Bright Street, Jersey City",0.28,59.8
park,Waldo,Jersey City,"Waldo Ave &, Alan Terrace, Jersey City",0.31,59.61
cafe,CoCo Fresh Tea & Juice,Jersey City,"420 Grand Street, Jersey City",0.23,59.47
restaurant,McDonald's,Jersey City,"428 Grand Street, Jersey City",0.27,59.47
park,Gateway Park,Jersey City,"40 Merseles Street, Jersey City",0.13,59.46
park,Kids football,Jersey City,"Gateway Field, 23 Merseles Street, Jersey City",0.2,59.46
water,Drinking fountain,Jersey City,"Lafayette Park, 124 Lafayette St, Jersey City",0.57,59.3
bike_shop,Whizz E-Bikes Rental in New Jersey,Jersey City,"498 Johnston Avenue, Jersey City",0.36,59.17
water,Drinking Fountain,Jersey City,"75 Woodward St, Jersey City",0.86,59.12
park,Beacon Park,Jersey City,"Beacon Way, Jersey City",0.12,59.06
park,Olive Pea Park,Jersey City,"95 Mill Road, Jersey City",0.18,59.05
park,Bergen Hill Park,Jersey City,"64 Summit Avenue, Jersey City",0.48,59.0
restaurant,Papa Johns Pizza,Jersey City,"724 Grand Street, Jersey City",0.59,58.99
restaurant,Light Rail Cafe,Jersey City,"237 Randolph Avenue, Jersey City",0.91,58.98
restaurant,Alyce,Jersey City,"641 Montgomery Street, Jersey City",0.01,58.96
restaurant,Wanderer,Jersey City,"53 Baldwin Avenue, Jersey City",0.02,58.96
park,Miralla Triangle,Jersey City,"141 Clifton Place, Jersey City",0.14,58.96
park,Park & Munch,Jersey City,"181 Academy Street, Jersey City",0.22,58.94
restaurant,Dunkin',Jersey City,"507 Summit Avenue, Jersey City",0.57,58.92
park,Magnolia Landing,Jersey City,"136 Magnolia Avenue, Jersey City",0.58,58.91
restaurant,Whealth Kitchen,Jersey City,"615 Pavonia Avenue, Jersey City",0.61,58.88
bike_shop,"The Bike Hub, Jersey City",Jersey City,"191 Monticello Avenue, Jersey City",0.3,58.8
bike_shop,Garcia Brothers E-biking,Jersey City,"117 Monticello Avenue, Jersey City",0.49,58.8
restaurant,Subway,Jersey City,"700 Montgomery Street, Jersey City",0.01,58.78
restaurant,7-Eleven,Jersey City,"33 Journal Square Plaza, Jersey City",0.42,58.74
restaurant,Dunkin',Jersey City,"40 Journal Square Plaza, Jersey City",0.44,58.72
cafe,Journal Square Cafe,Jersey City,"2881John F, John F. Kennedy Boulevard, Jersey City",0.48,58.71
restaurant,Dunkin',Jersey City,"739 Bergen Avenue, Jersey City",0.04,58.71
park,I’msa,Jersey City,"630 Bergen Avenue, Jersey City",0.31,58.71
